Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape,LinearWeightTrainable,LoraRank
input_ids,misc,[],[],[],set(),"{'siz', 'vie'}",[],"(2, 1024)",True,0
size,misc,[],[],[],"{""'input_ids""}","{'getitem_', 'getite'}","[(2, 1024)]","(1,)",True,0
getitem,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'vie'},"[(1,)]","(1,)",True,0
view,misc,[],[],[],"{""'input_ids"", ""'getitem""}",{'model_decoder_embed_token'},"[(2, 1024), (1,)]","(2, 1024)",True,0
model_decoder_embed_tokens,EMBEDDING,"[['MEM', ((2, 1024), (2, 1024, 2048))]]","[['MEM', ((50272, 2048),)], ['MEM', ((50272, 2048),)]]","[['VECadd', [1, 102957056]]]","{""'view""}","{'model_decoder_project_i', 'getattr_'}","[(2, 1024)]","(2, 1024, 2048)",True,0
getitem_1,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'one'},"[(1,)]","(1,)",True,0
getitem_2,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'ad'},"[(1,)]","(1,)",True,0
add,misc,[],[],[],"{""'getitem_2""}",{'one'},"[(1,)]","(1,)",True,0
getattr_1,misc,[],[],[],"{""'model_decoder_embed_tokens""}",{'one'},"[(2, 1024, 2048)]","(1,)",True,0
ones,misc,[],[],[],"{""'getattr_1"", ""'getitem_1"", ""'add""}","{'getitem_', 'lon', 'getattr_', 'size_'}","[(1,), (1,), (1,)]","(2, 1024)",True,0
getitem_3,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'add_'},"[(1,)]","(1,)",True,0
add_1,misc,[],[],[],"{""'getitem_3""}",{'su'},"[(1,)]","(1,)",True,0
size_1,misc,[],[],[],"{""'ones""}",set(),"[(2, 1024)]","(1,)",True,0
getitem_4,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}","{'g', 'expan', 'ful', 'expand_', 'su', 'add_'}","[(1,)]","(1,)",True,0
size_2,misc,[],[],[],"{""'ones""}",{'getitem_'},"[(2, 1024)]","(1,)",True,0
getitem_5,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_2""}",{'expan'},"[(1,)]","(1,)",True,0
gt,misc,[],[],[],"{""'getitem_4""}",set(),"[(1,)]","(1,)",True,0
sub,misc,[],[],[],"{""'getitem_4"", ""'add_1""}","{'gt_', 'add_'}","[(1,), (1,)]","(1,)",True,0
getattr_2,misc,[],[],[],"{""'model_decoder_embed_tokens""}","{'to_', 't', 'finfo_', 'finf'}","[(2, 1024, 2048)]","(1,)",True,0
finfo,misc,[],[],[],"{""'getattr_2""}",{'getattr_'},"[(1,)]","(1,)",True,0
getattr_3,misc,[],[],[],"{""'finfo""}",{'ful'},"[(1,)]","(1,)",True,0
getattr_4,misc,[],[],[],"{""'ones""}","{'ful', 'arang'}","[(2, 1024)]","(1,)",True,0
full,misc,[],[],[],"{""'getitem_4"", ""'getattr_3"", ""'getattr_4""}","{'size_', 'masked_fill', 't'}","[(1,), (1,), (1,)]","(1024, 1024)",True,0
size_3,misc,[],[],[],"{""'full""}",{'arang'},"[(1024, 1024)]","(1,)",True,0
arange,misc,[],[],[],"{""'getattr_4"", ""'size_3""}","{'add_', 'l'}","[(1,), (1,)]","(1024,)",True,0
add_2,VECaddu,"[['VECaddu', (1, 1024)]]","[['MEM', ((1, 1024),)]]",[],"{""'arange""}",{'view_'},"[(1024,)]","(1024,)",True,0
size_4,misc,[],[],[],"{""'full""}",{'view_'},"[(1024, 1024)]","(1,)",True,0
view_1,misc,[],[],[],"{""'add_2"", ""'size_4""}",{'l'},"[(1024,), (1,)]","(1024, 1)",True,0
lt,misc,[],[],[],"{""'view_1"", ""'arange""}",{'masked_fill'},"[(1024,), (1024, 1)]","(1024, 1024)",True,0
masked_fill_,misc,[],[],[],"{""'lt"", ""'full""}",set(),"[(1024, 1024), (1024, 1024)]","(1024, 1024)",True,0
to,misc,[],[],[],"{""'getattr_2"", ""'full""}",{'getitem_'},"[(1024, 1024), (1,)]","(1024, 1024)",True,0
gt_1,misc,[],[],[],"{""'sub""}",set(),"[(1,)]","(1,)",True,0
getitem_6,getitem,"[['MEM', ((1024, 1024), (1, 1, 1024, 1024))]]","[['MEM', ((1024, 1024),)], ['MEM', ((1024, 1024),)]]",[],"{""'to""}",{'expan'},"[(1024, 1024)]","(1, 1, 1024, 1024)",True,0
add_3,misc,[],[],[],"{""'getitem_4"", ""'sub""}",{'expan'},"[(1,), (1,)]","(1,)",True,0
expand,misc,[],[],[],"{""'getitem_4"", ""'getitem_6"", ""'add_3"", ""'getitem_5""}",{'masked_fill_'},"[(1, 1, 1024, 1024), (1,), (1,), (1,)]","(2, 1, 1024, 1024)",True,0
size_5,misc,[],[],[],"{""'ones""}",{'getitem_'},"[(2, 1024)]","(1,)",True,0
getitem_7,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_5""}",{'expand_'},"[(1,)]","(1,)",True,0
getitem_8,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_5""}",{'expand_'},"[(1,)]","(1,)",True,0
getitem_9,getitem,"[['MEM', ((2, 1024), (2, 1, 1, 1024))]]","[['MEM', ((2, 1024),)], ['MEM', ((2, 1024),)]]",[],"{""'ones""}",{'expand_'},"[(2, 1024)]","(2, 1, 1, 1024)",True,0
expand_1,misc,[],[],[],"{""'getitem_4"", ""'getitem_9"", ""'getitem_7"", ""'getitem_8""}",{'to_'},"[(2, 1, 1, 1024), (1,), (1,), (1,)]","(2, 1, 1024, 1024)",True,0
to_1,misc,[],[],[],"{""'getattr_2"", ""'expand_1""}",{'sub_'},"[(2, 1, 1024, 1024), (1,)]","(2, 1, 1024, 1024)",True,0
sub_1,misc,[],[],[],"{""'to_1""}","{'to_', 'masked_fil'}","[(2, 1, 1024, 1024)]","(2, 1, 1024, 1024)",True,0
to_2,misc,[],[],[],"{""'sub_1""}",{'masked_fil'},"[(2, 1, 1024, 1024)]","(2, 1, 1024, 1024)",True,0
finfo_1,misc,[],[],[],"{""'getattr_2""}",{'getattr_'},"[(1,)]","(1,)",True,0
getattr_5,misc,[],[],[],"{""'finfo_1""}",{'masked_fil'},"[(1,)]","(1,)",True,0
masked_fill,misc,[],[],[],"{""'getattr_5"", ""'sub_1"", ""'to_2""}",{'to_'},"[(2, 1, 1024, 1024), (2, 1, 1024, 1024), (1,)]","(2, 1, 1024, 1024)",True,0
getattr_6,misc,[],[],[],"{""'ones""}",{'to_'},"[(2, 1024)]","(1,)",True,0
to_3,misc,[],[],[],"{""'getattr_6"", ""'masked_fill""}",{'bool_'},"[(2, 1, 1024, 1024), (1,)]","(2, 1, 1024, 1024)",True,0
bool_1,misc,[],[],[],"{""'to_3""}",{'masked_fill_'},"[(2, 1, 1024, 1024)]","(2, 1, 1024, 1024)",True,0
finfo_2,misc,[],[],[],"{""'getattr_2""}",{'getattr_'},"[(1,)]","(1,)",True,0
getattr_7,misc,[],[],[],"{""'finfo_2""}",{'masked_fill_'},"[(1,)]","(1,)",True,0
masked_fill_1,misc,[],[],[],"{""'bool_1"", ""'getattr_7"", ""'expand""}","{'size_', 'add_'}","[(2, 1, 1024, 1024), (2, 1, 1024, 1024), (1,)]","(2, 1, 1024, 1024)",True,0
long,misc,[],[],[],"{""'ones""}","{'mu', 'type_a', 'cumsu'}","[(2, 1024)]","(2, 1024)",True,0
cumsum,cumsum,"[['MEM', ((2, 1024), (2, 1024))]]","[['MEM', ((2, 1024),)], ['MEM', ((2, 1024),)]]",[],"{""'long""}",{'type_a'},"[(2, 1024)]","(2, 1024)",True,0
type_as,misc,[],[],[],"{""'long"", ""'cumsum""}",{'mu'},"[(2, 1024), (2, 1024)]","(2, 1024)",True,0
mul,VECmul,"[['VECmul', (2, 1024)]]","[['VECmul', (2, 1024)], ['VECmul', (2, 1024)]]",[],"{""'type_as"", ""'long""}",{'long_'},"[(2, 1024), (2, 1024)]","(2, 1024)",True,0
long_1,misc,[],[],[],"{""'mul""}",{'sub_'},"[(2, 1024)]","(2, 1024)",True,0
sub_2,misc,[],[],[],"{""'long_1""}",{'getitem_1'},"[(2, 1024)]","(2, 1024)",True,0
getitem_10,getitem,"[['MEM', ((2, 1024), (2, 1024))]]","[['MEM', ((2, 1024),)], ['MEM', ((2, 1024),)]]",[],"{""'sub_2""}",{'add_'},"[(2, 1024)]","(2, 1024)",True,0
add_4,VECaddu,"[['VECaddu', (2, 1024)]]","[['MEM', ((2, 1024),)]]",[],"{""'getitem_10""}",{'embeddin'},"[(2, 1024)]","(2, 1024)",True,0
model_decoder_embed_positions_weight,misc,[],[],[],set(),{'embeddin'},[],"(2050, 512)",True,0
embedding,misc,[],[],[],"{""'model_decoder_embed_positions_weight"", ""'add_4""}",{'add_'},"[(2, 1024), (2050, 512)]","(2, 1024, 512)",True,0
model_decoder_project_in,Linear,"[['Linear', (2048, 2048, 512)]]","[['Linear', (2048, 512, 2048)], ['Linear', (512, 2048, 2048)]]","[['VECadd', [1, 1048576]], ['VECadd', [1, 512]]]","{""'model_decoder_embed_tokens""}",{'add_'},"[(2, 1024, 2048)]","(2, 1024, 512)",True,0
add_5,VECadd,"[['VECadd', (2048, 512)]]","[['MEM', ((2048, 512),)], ['MEM', ((2048, 512),)]]",[],"{""'embedding"", ""'model_decoder_project_in""}","{'model_decoder_layers_0_self_attn_layer_nor', 'add_'}","[(2, 1024, 512), (2, 1024, 512)]","(2, 1024, 512)",True,0
model_decoder_layers_0_self_attn_layer_norm,VECln,"[['VECln', (2048, 512)]]","[['VECmul', (2048, 512)]]","[['VECadd', [1, 512]], ['VECadd', [1, 512]]]","{""'add_5""}","{'model_decoder_layers_0_self_attn_q_pro', 'size_', 'model_decoder_layers_0_self_attn_k_pro', 'model_decoder_layers_0_self_attn_v_pro'}","[(2, 1024, 512)]","(2, 1024, 512)",True,0
size_6,misc,[],[],[],"{""'model_decoder_layers_0_self_attn_layer_norm""}",{'getitem_1'},"[(2, 1024, 512)]","(1,)",True,0
getitem_11,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_6""}","{'reshap', 'view_', 'view_1', 'ne_', 'mul_'}","[(1,)]","(1,)",True,0
getitem_12,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_6""}","{'reshap', 'view_', 'n', 'view_1', 'ne_'}","[(1,)]","(1,)",True,0
getitem_13,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_6""}",set(),"[(1,)]","(1,)",True,0
model_decoder_layers_0_self_attn_q_proj,Linear,"[['Linear', (2048, 512, 512)]]","[['Linear', (2048, 512, 512)], ['Linear', (512, 2048, 512)]]","[['VECadd', [1, 262144]], ['VECadd', [1, 512]]]","{""'model_decoder_layers_0_self_attn_layer_norm""}",{'mul_'},"[(2, 1024, 512)]","(2, 1024, 512)",True,0
mul_1,VECmulu,"[['VECmulu', (2048, 512)]]","[['VECmulu', (2048, 512)]]",[],"{""'model_decoder_layers_0_self_attn_q_proj""}",{'view_'},"[(2, 1024, 512)]","(2, 1024, 512)",True,0
model_decoder_layers_0_self_attn_k_proj,Linear,"[['Linear', (2048, 512, 512)]]","[['Linear', (2048, 512, 512)], ['Linear', (512, 2048, 512)]]","[['VECadd', [1, 262144]], ['VECadd', [1, 512]]]","{""'model_decoder_layers_0_self_attn_layer_norm""}",{'view_'},"[(2, 1024, 512)]","(2, 1024, 512)",True,0
view_2,misc,[],[],[],"{""'getitem_11"", ""'model_decoder_layers_0_self_attn_k_proj""}",{'transpos'},"[(2, 1024, 512), (1,)]","(2, 1024, 8, 64)",True,0
transpose,misc,[],[],[],"{""'view_2""}",{'contiguou'},"[(2, 1024, 8, 64)]","(2, 8, 1024, 64)",True,0
contiguous,contiguous,"[['MEM', ((2, 8, 1024, 64), (2, 8, 1024, 64))]]","[['MEM', ((2, 8, 1024, 64),)], ['MEM', ((2, 8, 1024, 64),)]]",[],"{""'transpose""}","{'view_', 'outpu'}","[(2, 8, 1024, 64)]","(2, 8, 1024, 64)",True,0
model_decoder_layers_0_self_attn_v_proj,Linear,"[['Linear', (2048, 512, 512)]]","[['Linear', (2048, 512, 512)], ['Linear', (512, 2048, 512)]]","[['VECadd', [1, 262144]], ['VECadd', [1, 512]]]","{""'model_decoder_layers_0_self_attn_layer_norm""}",{'view_'},"[(2, 1024, 512)]","(2, 1024, 512)",True,0
view_3,misc,[],[],[],"{""'getitem_11"", ""'model_decoder_layers_0_self_attn_v_proj""}",{'transpose_'},"[(2, 1024, 512), (1,)]","(2, 1024, 8, 64)",True,0
transpose_1,misc,[],[],[],"{""'view_3""}",{'contiguous_'},"[(2, 1024, 8, 64)]","(2, 8, 1024, 64)",True,0
contiguous_1,contiguous,"[['MEM', ((2, 8, 1024, 64), (2, 8, 1024, 64))]]","[['MEM', ((2, 8, 1024, 64),)], ['MEM', ((2, 8, 1024, 64),)]]",[],"{""'transpose_1""}","{'view_', 'outpu'}","[(2, 8, 1024, 64)]","(2, 8, 1024, 64)",True,0
mul_2,misc,[],[],[],"{""'getitem_11""}",{'view_'},"[(1,)]","(1,)",True,0
view_4,misc,[],[],[],"{""'getitem_11"", ""'mul_1"", ""'getitem_12""}",{'transpose_'},"[(2, 1024, 512), (1,), (1,)]","(2, 1024, 8, 64)",True,0
transpose_2,misc,[],[],[],"{""'view_4""}",{'contiguous_'},"[(2, 1024, 8, 64)]","(2, 8, 1024, 64)",True,0
contiguous_2,contiguous,"[['MEM', ((2, 8, 1024, 64), (2, 8, 1024, 64))]]","[['MEM', ((2, 8, 1024, 64),)], ['MEM', ((2, 8, 1024, 64),)]]",[],"{""'transpose_2""}",{'view_'},"[(2, 8, 1024, 64)]","(2, 8, 1024, 64)",True,0
view_5,misc,[],[],[],"{""'contiguous_2"", ""'mul_2""}",{'bm'},"[(2, 8, 1024, 64), (1,)]","(16, 1024, 64)",True,0
view_6,misc,[],[],[],"{""'contiguous"", ""'mul_2""}","{'transpose_', 'size_'}","[(2, 8, 1024, 64), (1,)]","(16, 1024, 64)",True,0
view_7,misc,[],[],[],"{""'mul_2"", ""'contiguous_1""}",{'bmm_'},"[(2, 8, 1024, 64), (1,)]","(16, 1024, 64)",True,0
size_7,misc,[],[],[],"{""'view_6""}","{'n', 'ne_', 'view_'}","[(16, 1024, 64)]","(1,)",True,0
transpose_3,misc,[],[],[],"{""'view_6""}",{'bm'},"[(16, 1024, 64)]","(16, 64, 1024)",True,0
bmm,BMM,"[['BMM', (16, 1024, 64, 1024)]]","[['BMM', (16, 1024, 1024, 64)], ['BMM', (16, 64, 1024, 1024)]]",[],"{""'view_5"", ""'transpose_3""}","{'view_', 'size_'}","[(16, 1024, 64), (16, 64, 1024)]","(16, 1024, 1024)",True,0
size_8,misc,[],[],[],"{""'bmm""}",{'n'},"[(16, 1024, 1024)]","(1,)",True,0
mul_3,misc,[],[],[],"{""'getitem_11""}",{'n'},"[(1,)]","(1,)",True,0
